date,actual,predicted,ci_lower,ci_upper
2016-04-25,1257.6,1257.4,1063.7,1451.0
2016-04-26,1286.8,1285.9,1092.1,1479.7
2016-04-27,1347.3,1347.4,1136.8,1558.0
2016-04-28,1309.0,1308.7,1111.8,1505.6
2016-04-29,1167.5,1166.5,973.3,1359.7
2016-04-30,1140.7,1138.2,952.8,1323.6
2016-05-01,1192.2,1189.7,1001.8,1377.5
2016-05-02,1243.9,1241.7,1046.8,1436.7
2016-05-03,1314.2,1313.1,1121.3,1505.0
2016-05-04,1309.0,1306.8,1130.6,1482.9
2016-05-05,1309.3,1307.8,1101.3,1514.2
2016-05-06,1237.6,1236.1,1027.1,1445.2
2016-05-07,1176.7,1177.0,996.4,1357.7
2016-05-08,1219.0,1218.4,1022.2,1414.6
2016-05-09,1265.3,1264.9,1085.4,1444.3
2016-05-10,1294.9,1294.8,1094.2,1495.5
2016-05-11,1341.3,1342.1,1156.2,1528.1
2016-05-12,1265.1,1267.8,1067.6,1467.9
2016-05-13,1241.8,1243.1,1040.4,1445.8
2016-05-14,1175.6,1177.9,973.6,1382.2
2016-05-15,1187.9,1189.1,1009.7,1368.5
2016-05-16,1238.3,1239.5,1029.7,1449.3
2016-05-17,1348.7,1349.4,1165.4,1533.5
2016-05-18,1329.9,1330.2,1153.5,1507.0
2016-05-19,1280.0,1279.5,1083.3,1475.7
2016-05-20,1212.7,1211.1,1021.7,1400.4
2016-05-21,1191.8,1188.7,982.1,1395.2
2016-05-22,1203.3,1201.2,995.5,1407.0
