date,actual,predicted,ci_lower,ci_upper
2016-04-25,1257.6,1255.9,1179.8,1331.9
2016-04-26,1286.8,1284.2,1205.7,1362.8
2016-04-27,1347.3,1345.6,1243.3,1447.9
2016-04-28,1309.0,1307.8,1215.2,1400.3
2016-04-29,1167.5,1167.4,1086.1,1248.6
2016-04-30,1140.7,1140.2,1046.2,1234.2
2016-05-01,1192.2,1193.6,1112.7,1274.5
2016-05-02,1243.9,1244.7,1143.4,1346.1
2016-05-03,1314.2,1316.1,1224.2,1408.1
2016-05-04,1309.0,1309.1,1219.6,1398.6
2016-05-05,1309.3,1309.5,1222.9,1396.0
2016-05-06,1237.6,1236.7,1137.8,1335.6
2016-05-07,1176.7,1176.1,1087.3,1264.8
2016-05-08,1219.0,1219.0,1140.5,1297.4
2016-05-09,1265.3,1265.4,1185.8,1345.0
2016-05-10,1294.9,1295.0,1183.6,1406.3
2016-05-11,1341.3,1341.3,1231.9,1450.6
2016-05-12,1265.1,1264.7,1163.2,1366.2
2016-05-13,1241.8,1241.6,1156.5,1326.8
2016-05-14,1175.6,1175.5,1063.8,1287.1
2016-05-15,1187.9,1188.4,1084.0,1292.9
2016-05-16,1238.3,1239.0,1136.9,1341.1
2016-05-17,1348.7,1349.6,1257.5,1441.6
2016-05-18,1329.9,1331.0,1245.6,1416.4
2016-05-19,1280.0,1280.4,1201.6,1359.2
2016-05-20,1212.7,1212.8,1103.7,1321.9
2016-05-21,1191.8,1190.7,1098.4,1283.0
2016-05-22,1203.3,1202.8,1120.0,1285.6
