date,actual,predicted,ci_lower,ci_upper
2016-04-25,1257.6,1255.6,1113.1,1398.1
2016-04-26,1286.8,1284.5,1137.8,1431.1
2016-04-27,1347.3,1344.7,1214.2,1475.2
2016-04-28,1309.0,1305.8,1176.2,1435.4
2016-04-29,1167.5,1164.1,1013.7,1314.5
2016-04-30,1140.7,1138.3,995.3,1281.3
2016-05-01,1192.2,1192.9,1046.4,1339.4
2016-05-02,1243.9,1244.9,1090.9,1399.0
2016-05-03,1314.2,1316.3,1167.2,1465.4
2016-05-04,1309.0,1309.3,1163.2,1455.4
2016-05-05,1309.3,1308.6,1162.2,1454.9
2016-05-06,1237.6,1237.7,1101.0,1374.4
2016-05-07,1176.7,1176.9,1050.5,1303.4
2016-05-08,1219.0,1221.0,1079.3,1362.7
2016-05-09,1265.3,1265.7,1132.4,1399.1
2016-05-10,1294.9,1296.5,1155.8,1437.1
2016-05-11,1341.3,1341.6,1184.2,1498.9
2016-05-12,1265.1,1267.1,1133.0,1401.2
2016-05-13,1241.8,1243.0,1115.5,1370.5
2016-05-14,1175.6,1177.3,1041.4,1313.1
2016-05-15,1187.9,1186.8,1050.4,1323.1
2016-05-16,1238.3,1237.2,1087.1,1387.4
2016-05-17,1348.7,1347.9,1201.7,1494.1
2016-05-18,1329.9,1331.7,1177.0,1486.5
2016-05-19,1280.0,1280.0,1129.8,1430.3
2016-05-20,1212.7,1211.4,1070.8,1352.0
2016-05-21,1191.8,1190.5,1034.7,1346.4
2016-05-22,1203.3,1203.5,1071.9,1335.1
