date,actual,predicted,ci_lower,ci_upper
2016-04-25,1257.6,1256.9,1100.7,1413.1
2016-04-26,1286.8,1285.4,1109.3,1461.6
2016-04-27,1347.3,1348.3,1169.9,1526.8
2016-04-28,1309.0,1309.4,1122.6,1496.2
2016-04-29,1167.5,1167.2,1004.5,1329.9
2016-04-30,1140.7,1140.0,975.6,1304.4
2016-05-01,1192.2,1191.1,1023.0,1359.2
2016-05-02,1243.9,1243.8,1086.3,1401.4
2016-05-03,1314.2,1312.8,1157.4,1468.1
2016-05-04,1309.0,1308.6,1140.3,1476.9
2016-05-05,1309.3,1309.2,1150.3,1468.2
2016-05-06,1237.6,1240.0,1064.4,1415.6
2016-05-07,1176.7,1176.0,1009.1,1342.8
2016-05-08,1219.0,1219.4,1037.7,1401.1
2016-05-09,1265.3,1263.7,1087.0,1440.5
2016-05-10,1294.9,1297.1,1135.0,1459.3
2016-05-11,1341.3,1341.2,1159.5,1522.9
2016-05-12,1265.1,1264.5,1083.8,1445.2
2016-05-13,1241.8,1241.7,1076.7,1406.7
2016-05-14,1175.6,1180.2,1018.9,1341.4
2016-05-15,1187.9,1194.1,1018.0,1370.2
2016-05-16,1238.3,1242.4,1086.7,1398.1
2016-05-17,1348.7,1348.7,1190.8,1506.7
2016-05-18,1329.9,1328.0,1177.3,1478.7
2016-05-19,1280.0,1278.1,1098.1,1458.1
2016-05-20,1212.7,1212.7,1037.2,1388.1
2016-05-21,1191.8,1192.9,1016.0,1369.9
2016-05-22,1203.3,1205.4,1025.6,1385.1
