date,actual,predicted,ci_lower,ci_upper
2016-04-25,1257.6,1257.5,1158.3,1356.7
2016-04-26,1286.8,1286.3,1176.8,1395.8
2016-04-27,1347.3,1346.0,1251.7,1440.4
2016-04-28,1309.0,1308.8,1188.9,1428.7
2016-04-29,1167.5,1167.7,1051.5,1283.9
2016-04-30,1140.7,1141.0,1026.3,1255.8
2016-05-01,1192.2,1191.8,1087.8,1295.7
2016-05-02,1243.9,1242.7,1131.4,1354.0
2016-05-03,1314.2,1313.0,1203.4,1422.7
2016-05-04,1309.0,1309.1,1196.9,1421.2
2016-05-05,1309.3,1310.3,1219.4,1401.2
2016-05-06,1237.6,1238.6,1135.3,1342.0
2016-05-07,1176.7,1176.6,1087.3,1265.9
2016-05-08,1219.0,1218.5,1112.2,1324.7
2016-05-09,1265.3,1264.3,1164.2,1364.4
2016-05-10,1294.9,1294.3,1201.2,1387.5
2016-05-11,1341.3,1341.5,1249.9,1433.1
2016-05-12,1265.1,1266.0,1156.2,1375.8
2016-05-13,1241.8,1242.3,1148.2,1336.4
2016-05-14,1175.6,1175.8,1053.3,1298.3
2016-05-15,1187.9,1188.4,1078.9,1298.0
2016-05-16,1238.3,1238.8,1138.0,1339.5
2016-05-17,1348.7,1349.4,1239.5,1459.4
2016-05-18,1329.9,1330.4,1241.8,1419.0
2016-05-19,1280.0,1279.8,1156.0,1403.5
2016-05-20,1212.7,1212.0,1106.2,1317.9
2016-05-21,1191.8,1191.6,1074.5,1308.8
2016-05-22,1203.3,1204.4,1113.6,1295.3
