feature,importance,gain
lag_1,4668493.9,4668493.9
rolling_mean_7,4316458.3,4316458.3
rolling_std_7,380686.0,380686.0
wday,346567.1,346567.1
rolling_mean_14,278410.9,278410.9
lag_7,262144.7,262144.7
lag_28,212947.3,212947.3
rolling_mean_90,195571.3,195571.3
lag_14,190210.4,190210.4
lag_21,187355.3,187355.3
price_rel_diff,177193.6,177193.6
sell_price,174798.9,174798.9
month,162529.9,162529.9
rolling_mean_28,117670.9,117670.9
rolling_std_28,94108.0,94108.0
lag_2,83694.4,83694.4
snap_flag,56466.5,56466.5
is_weekend,55158.0,55158.0
discount_pct,29902.0,29902.0
has_event,23591.9,23591.9
is_month_start_benefit,20707.2,20707.2
snap_weekend_interaction,16151.0,16151.0
is_discounted,93.9,93.9
